page;title;author;publisher;price;score;reviews;language;pages;edition;code;category
1;Ó, azok a csodálatos állatok! - Állatkerti történetek;Telegdi Ágnes;Ring-Color Kft., 2011;21.00;0;0;magyar;58;cérnafűzött, keménytáblás;9789638890672;Könyv > Gyermek- és ifjúsági > Ifjúsági ism. terjesztő > Állat- és növényvilág
1;A születés csodálatos története;Jocelyne Robert;Tóth Könyvkereskedés, 2010;7.29;0;0;magyar;80;papír / puha kötés;9789635964635;Könyv > Gyermek- és ifjúsági > Ifjúsági ism. terjesztő > Tinédzsereknek
1;Szabadíts meg a Gonosztól!;Feldmár András;Jaffa Kiadó, 2011;42.20;0;0;magyar;168;cérnafűzött, keménytáblás;9789639971158;Könyv > Társadalomtudomány > Pszichológia > Egyéb
1;A tudás, a megismerés és a társas megértés öröme;B. Gelencsér Katalin;TINTA KÖNYVKIADÓ KFT, 2011;47.49;4.5;15;magyar;472;kemény kötés;9789639902695;Könyv > Társadalomtudomány > Nyelvészet
1;Burgum Bélus és a hétfejű sárkány - Mesterdetektív-regény gyerekeknek;Szávai Géza;Pont Kiadó, 2011;13.30;4.5;15;magyar;24;irkafűzött;9789639957329;Könyv > Gyermek- és ifjúsági > Ifjúsági irodalom > 7-10 éveseknek > Kortárs
1;Malaclopás a Kedvenckertben - Sódervári Sherlock báró sorozat 4. kötet - SÓDERVÁRI SHERLOCK BÁRÓ 4. KÖTET;Alexandra Fischer-Hunold;Scolar Kiadó, 2011;21.00;0;0;magyar;136;kemény kötés;9789632442525;Könyv > Gyermek- és ifjúsági > Ifjúsági irodalom > 7-10 éveseknek > Kortárs
1;A vallási tapasztalat megértése - Jog, bölcselet, teológia;null;L'Harmattan Kiadó, 2010;36.94;4.5;15;magyar;342;puhatáblás, ragasztókötött;9789632363486;Könyv > Vallás > Kereszténység
1;Flóra és Fényes - PÓNITÁBOR NAPLÓK 4.;Kelly McKain;Könyvmolyképző Kiadó Kft., 2016;17.93;0;0;magyar;102;kemény kötés;9789632453446;Könyv > Gyermek- és ifjúsági > Ifjúsági irodalom > 7-10 éveseknek > Kortárs
1;Erzsébet, az anyakirálynő - Botrányok szemtanúja a Windsor-házban;William Shawcross;Gabo Kiadó, 2011;36.83;0;0;magyar;280;keménytábla, védőborító;9789636894672;Könyv > Történelem > Heraldika, családtörténet
1;A pipiske és a fűszál;Mészöly Miklós;Móra Könyvkiadó, 2011;18.89;4.5;15;magyar;52;kemény kötés;9789631188950;Könyv > Gyermek- és ifjúsági > Mesekönyvek > 6-10 éveseknek > Kortárs mesék
1;Vidékgazdaságtan II. - Fejlesztési lehetőségek a vidékgazdaságban;Magda Róbert;Szaktudás Kiadó Ház Rt., 2010;109.74;0;0;magyar;226;puhatáblás, ragasztókötött;9789639935501;Könyv > Természettudomány > Biológia > Környezetvédelem, ökológia
1;A Szent Erzsébet ispotály számadáskönyvei 1601-1650 - Kolozsvári ispotály-számadások II.;Márton Tünde Mária;L'Harmattan Kiadó, 2010;42.21;4.5;15;magyar;532;puhatáblás, ragasztókötött;9789632362014;Könyv > Szakkönyv > Orvosi > Orvoslástörténet
1;Grimpow - A láthatatlan út;Rafael Abalos;Könyvmolyképző Kiadó Kft., 2010;36.92;4.5;15;magyar;468;keménytábla, védőborító;9789632450964;Könyv > Gyermek- és ifjúsági > Ifjúsági irodalom > 10-14 éveseknek > Kortárs
1;Levél a hitveshez;Radnóti Miklós;Nap Kiadó, 2009;26.38;4.5;15;magyar;102;kemény kötés;9789639658691;Könyv > Irodalom > Szépirodalom > Vers > Magyar irodalom > 20. század
1;A kékpöttyös elefánt;Richly Zsolt;Vivandra Könyvek, 2011;25.33;0;0;magyar;40;cérnafűzött, keménytáblás;9789638883957;Könyv > Gyermek- és ifjúsági > Mesekönyvek > 3-6 éveseknek > Kortárs mesék
1;Vigyél át, révészem - Antológia a vízről;Horgas Judit (Szerk.);Liget Műhely Alapítvány, 2011;52.76;4.5;15;magyar;354;ragasztott;9789639363755;Könyv > Irodalom > Szépirodalom > Antológiák
1;A menny valóság!;Choo Thomas;Immanuel Alapítvány, 2011;34.29;0;0;magyar;256;puhatáblás, ragasztókötött;9789638900869;Könyv > Vallás > Egyéb
1;A mészároslegény;Patrick McCabe;Kalligram Könyvkiadó, 2011;28.50;0;0;magyar;228;keménytábla, védőborító;9788081014215;Könyv > Irodalom > Szépirodalom > Próza > Világirodalom > Regények > Kortárs > Egyéb
1;Repeta 3. - Rejtvények, feladatok 3. osztályt végzett gyerekeknek;Zsolnay Judit;Santos Kiadó, 2011;15.73;0;0;magyar;30;puhatáblás, ragasztókötött;9786155135002;Könyv > Gyermek- és ifjúsági > Kifestők, foglalkoztatók > 6-10 éveseknek
1;A névtelen fa;Drago Jancar;L'Harmattan Kiadó, 2011;28.50;4.5;15;magyar;280;keménytábla, védőborító;9789632363714;Könyv > Irodalom > Szépirodalom > Próza > Világirodalom > Regények > Kortárs > Egyéb
1;Mrs. Haroy, avagy a bálna emlékezete;Jean Portante;L'Harmattan Kiadó, 2011;41.15;4.5;15;magyar;518;keménytábla, védőborító;9789632363677;Könyv > Irodalom > Szépirodalom > Próza > Világirodalom > Regények > Kortárs > Egyéb
1;Aranyalma - A legnépszerűbb Alma-dalok képes, verses kottáskönyve;null;Ciceró Könyvstúdió Kft., 2011;26.28;0;0;magyar;44;kemény kötés;9789635397266;Könyv > Gyermek- és ifjúsági > Gyermekversek, dalok
1;Kevélység - A hét főbűn;Laura Bazzicalupo;Typotex Kiadó, 2011;18.99;0;0;magyar;200;puhatáblás, ragasztókötött;9789632792989;Könyv > Társadalomtudomány > Pszichológia > Egyéb
1;Energia a házban, lakásban;Bo Hanus;Cser Kiadó, 2011;42.16;4.5;15;magyar;104;puhatáblás, ragasztókötött;9789632781952;Könyv > Szakkönyv > Műszaki > Ipar > Építőipar
1;Közép-Európa jegyében - Írószövetségek a demokráciáért és a nemzeti függetlenségért;null;Kortárs Kiadó, 2011;21.11;0;0;magyar;208;karton;9789638432025;Könyv > Történelem > Művelődéstörténet > Magyar művelődéstörténet
1;A fiú, aki utálta a decembert;Yngve Froyen;Pongrác Kiadó, 2011;30.60;4.5;15;magyar;300;füles, kartonált;9786155131028;Könyv > Gyermek- és ifjúsági > Ifjúsági irodalom > 10-14 éveseknek > Kortárs
1;Kimerült szülők - Kiút a családi mókuskerékből;Peter Musall;Tudatos Lépés Kft., 2011;29.55;4.5;15;magyar;164;karton;9789639991217;Könyv > Életmód, egészség > Gyermekek és szülők > Gyermeknevelés
1;Az esélyegyenlőség és a felzárkóztatás vetületei az oktatásban I-III.;Bene Annamária (szerk.);Forum Könyvkiadó, 2009;55.86;4.5;15;magyar;810;puhatáblás, ragasztókötött;9788632307537;Könyv > Társadalomtudomány > Pedagógia
1;Microsoft Silverlight 4 - A technológia, és ami mögötte van - fejlesztőknek;null;Jedlik Oktatási Stúdió Bt., 2011;21.05;4.5;15;magyar;336;puhatáblás, ragasztókötött;9786155012068;Könyv > Szakkönyv > Informatika > Programozás
1;Hétköznapi harcosok 2.;Nógrádi Bence;RHINO BOOKS, 2009;36.94;4.5;15;magyar;286;puhatáblás, ragasztókötött;9789638726025;Könyv > Szakkönyv > Pénz, befektetés, üzlet > Befektetés, vállalkozás
1;Hagyomány - Örökség - Közkultúra - A magyar népművészet helye és jövője a Kárpát-medencében;null;Teleki László Alapítvány, 2011;21.11;4;4;magyar;335;puhatáblás, ragasztókötött;9789637081224;Könyv > Társadalomtudomány > Néprajz
1;A legnagyobb lovag - KEMÉNYTÁBLA;Elizabeth Chadwick;Könyvmolyképző Kiadó Kft., 2011;47.48;4;4;magyar;586;keménytábla, védőborító;9789632453965;Könyv > Irodalom > Szépirodalom > Próza > Világirodalom > Regények > Történelmi
1;A Balaton környékének egyházai és várai a középkorban;Békefi Remig;Históriaantik Könyvesház, 2009;83.36;4;4;magyar;376;kemény kötés;2050000025433;Könyv > Történelem > Régészet
1;A Balaton-melléki lakosság néprajza;Jankó János;Históriaantik Könyvesház, 2010;79.14;4.5;15;magyar;428;kemény kötés;2050000025112;Könyv > Társadalomtudomány > Néprajz
1;Vámpírnaplók 7. - A visszatérés: Éjfél;Lisa Jane Smith;Könyvmolyképző Kiadó Kft., 2011;26.37;4.5;15;magyar;466;puhatáblás, ragasztókötött;9789632453637;Könyv > Irodalom > Szórakoztató irodalom > Vámpírregények
1;A Szellem titka;Joseph Delaney;Könyvmolyképző Kiadó Kft., 2011;26.37;4;4;magyar;270;keménytábla, védőborító;9789632452418;Könyv > Gyermek- és ifjúsági > Ifjúsági irodalom > 14 éves kor felett > Kortárs
1;A bronzkor emlékei Magyarhonban I-III.;Hampel József;Históriaantik Könyvesház, 2010;221.58;4;4;magyar;972;kemény kötés;2050000026232;Könyv > Történelem > Régészet
1;A budai basák magyar nyelvű levelezése I. 1553-1589;Takáts Sándor;Históriaantik Könyvesház, 2011;68.59;4;4;magyar;546;kemény kötés;5990000516838;Könyv > Történelem > Magyar történelem > A török hódoltság kora
1;A Castellumtól a kastélyig;Koppány Tibor;Históriaantik Könyvesház, 2006;51.70;4.5;15;magyar;260;kemény kötés;9789638725905;Könyv > Művészet > Építészet > Magyar építészet
1;A czikádori apátság története;Békefi Remig;Históriaantik Könyvesház, 2010;68.59;4;4;magyar;150;kemény kötés;5990000439946;Könyv > Történelem > Magyar történelem > Középkor
1;A császári-királyi mezei hadsereg a tizenöt éves háborúban;Bagi Zoltán Péter;Históriaantik Könyvesház, 2011;104.46;4.5;15;magyar;523;kemény kötés;2701020010229;Könyv > Történelem > Hadászat
1;A középkori délszláv uralkodók genealógiai története;Wertner Mór;Históriaantik Könyvesház, 2010;68.59;4;4;magyar;266;kemény kötés;2050000027581;Könyv > Történelem > Világtörténelem > Középkor
1;A dunai hajóhadak története;Szentkláray Jenő;Históriaantik Könyvesház, 2010;68.59;4.5;15;magyar;434;kemény kötés;5990000057690;Könyv > Történelem > Hadászat
1;A honfoglalástól az államalapításig - A magyarság története a X. században;Tóth Sándor László;Históriaantik Könyvesház, 2010;68.59;4.5;15;magyar;295;kemény kötés;2701020070223;Könyv > Történelem > Magyar történelem > Őstörténet és honfoglalás
1;A kamara haszna (lucrum camerae) története;Thallóczy Lajos;Históriaantik Könyvesház, 2010;68.59;4.5;15;magyar;236;kemény kötésben;5990000755428;Könyv > Történelem > Magyar történelem > Egyéb
1;A Királyföldi viszonyok ismertetése I - II.;Jakab Elek;Históriaantik Könyvesház, 2010;104.46;4;4;magyar;658;kemény kötés;5990000047295;Könyv > Történelem > Magyar történelem > Egyéb
1;A királyi kancellária az Árpádok korában;Fejérpataky László;Históriaantik Könyvesház, 2010;68.59;4;4;magyar;150;kemény kötés;5990000922219;Könyv > Történelem > Magyar történelem > Középkor
1;A középkori várak különös tekintettel Magyarországra;Könyöki József;Históriaantik Könyvesház, 2009;142.45;4.5;15;magyar;637;kemény kötés;5990000094558;Könyv > Történelem > Magyar történelem > Középkor
2;"Moleskine határidőnapló 2018/19 18 hónap heti puha fekete ""P""";null;Moleskine, 2018;51.80;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Gumis mappa A/4 - Autistic Art - Varga Máté 18612499;null;AUTISTIC ART Kft, 2018;8.03;4.5;15;null;N/A;N/A;N/A;N/A
2;Füzetbox A/4 - Autistic Art - Stadtmüller Tamás 18612299;null;AUTISTIC ART Kft, 2018;18.50;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
2;A Dunakanyar - The Danube Bend - Das Donauknie - Le Coude du Danube - CD ROM - 72 település története, látnivalói, programok, szolgáltatások, túraajánlatok;null;TEREBINT BT., 2015;17.45;4.5;15;null;N/A;N/A;N/A;Könyv > Hobbi, szabadidő > Utazás > Útikönyvek > Magyarország > Általános
2;Barcelona - B/6 napi naptár - 2019;null;Kalendart Kiadó Kft., 2018;24.87;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Raibow lila - A/5 heti naptár - 2019;null;Kalendart Kiadó Kft., 2018;27.88;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Moleskine határidőnapló 2019 denim 12 hónap napi kemény P;null;Moleskine, 2018;61.10;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap heti puha skarlát piros ""P"" Horizontális";null;Moleskine, 2018;51.80;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap heti kemény zafír kék ""P""";null;Moleskine, 2018;51.80;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Moleskine határidőnapló 2019 denim 12 hónap heti kemény P;null;Moleskine, 2018;57.94;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap heti kemény fekete ""P""";null;Moleskine, 2018;51.80;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Moleskine határidőnapló 2019 12 hónap heti kemény fekete P horizontális;null;Moleskine, 2018;51.80;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap heti puha skarlát piros ""P"" Horizontális";null;Moleskine, 2018;51.80;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Moleskine határidőnapló 2019 12 hónap havi tervező puha fekete P;null;Moleskine, 2018;51.80;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap heti puha zafír kék ""P""";null;Moleskine, 2018;51.80;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap napi puha piros ""P""";null;Moleskine, 2018;57.94;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap napi puha zafír kék ""P""";null;Moleskine, 2018;57.94;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Moleskine határidőnapló 2019 12 hónap heti kemény skarlát piros L horizontális;null;Moleskine, 2018;64.17;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap napi kemény piros ""P""";null;Moleskine, 2018;57.94;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap heti kemény fekete ""L"" vertikális";null;Moleskine, 2018;64.17;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap napi kemény zafír kék ""P""";null;Moleskine, 2018;57.94;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap heti kemény zafír kék ""L""";null;Moleskine, 2018;64.17;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap napi kemény fekete ""P""";null;Moleskine, 2018;57.94;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap havi tervező puha fekete ""L""";null;Moleskine, 2018;64.17;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap heti puha skarlát piros ""L"" horizontális";null;Moleskine, 2018;64.17;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Moleskine határidőnapló 2019 12 hónap napi puha zafír kék L;null;Moleskine, 2018;70.30;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap napi puha piros ""L""";null;Moleskine, 2018;70.30;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap napi kemény piros ""L"" horizontális";null;Moleskine, 2018;70.30;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019 12 hónap heti kemény fekete ""P""";null;Moleskine, 2018;51.80;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2019/20 18 hónap heti kemény zafír kék ""L"" horizontális";null;Moleskine, 2019;70.38;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;A rút kiskacsa - Házi színpad;null;NAPRAFORGÓ KIADÓ, 2019;18.06;4;4;magyar;20;irkafűzött;jó állapotú antikvár könyv;Antikvár könyv > Gyermek- és ifjúsági > Mesekönyvek > 6-10 éveseknek > Klasszikus mesék
2;Moleskine határidőnapló 2020 12 hónap heti kemény skarlát piros P horizontális;null;Moleskine, 2019;57.53;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Moleskine határidőnapló 2020 12 hónap heti puha zafír kék P horizontális;null;Moleskine, 2019;57.53;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Moleskine határidőnapló 2020 12 hónap napi kemény piros P;null;Moleskine, 2019;60.75;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Moleskine határidőnapló 2020 12 hónap napi puha fekete P;null;Moleskine, 2019;60.75;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Moleskine határidőnapló 2020 12 hónap napi puha zafír kék P;null;Moleskine, 2019;60.75;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Kék - B/6 Heti naptár - 2020;null;Kalendart Kiadó Kft., 2019;31.64;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Rózsaszín - B/6 Heti naptár - 2020;null;Kalendart Kiadó Kft., 2019;31.64;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Rainbow kék B/6 heti naptár - 2020;null;Kalendart Kiadó Kft., 2019;31.64;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Mickey Mouse & Friends - 2 in 1 3D matricák, 12 darabos;null;RJM Hungary Kft., 2011;8.13;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Ajándéktárgyak
2;"Moleskine határidőnapló 2020/21 18 hónap heti puha piros ""L""";null;Moleskine, 2020;76.87;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2020/21 18 hónap napi puha skarlát piros ""L""";null;Moleskine, 2020;87.39;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;Hortenzia B/5 heti naptár - 2021;null;Kalendart Kiadó Kft., 2020;30.90;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2021 12 hónap heti kemény fekete ""P""";null;Moleskine, 2020;62.84;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2021 12 hónap heti kemény piros ""P""";null;Moleskine, 2020;62.84;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine határidőnapló 2021 12 hónap heti puha fekete ""P"" horizontális";null;Moleskine, 2020;62.84;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Határidőnapló
2;"Moleskine notesz QP616K15 mirtusz zöld puha ""L"" vonalas";null;Moleskine, 2020;104.56;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
2;"Moleskine notesz QP61115 mirtusz zöld puha ""P"" vonalas";null;Moleskine, 2020;84.79;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
2;"Moleskine notesz QP613K15 mirtusz zöld puha ""P"" sima";null;Moleskine, 2020;84.79;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
2;"Moleskine notesz Star Wars X-wing kemény szürke ""L"" vonalas";null;Moleskine, 2020;96.54;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
2;"Moleskine notesz Passion Pasrecp kemény piros ""L"" recept";null;Moleskine, 2020;167.37;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
2;A Tarot - Nagy arkánuma;Klaus Hutter;Hermit Könyvkiadó Bt., 2020;20.05;4;4;magyar;112;puhatáblás, ragasztókötött;9786155984587;Könyv > Életmód, egészség > Ezotéria > Jóslás, álomfejtés, tarot
2;JAWS - A cápa - társasjáték;null;Cartaco Kft., 2021;28.96;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Játékkártya, társasjáték
2;80's - IT - Pennywise kártya játék;null;Cartaco Kft., 2021;52.22;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Játékkártya, társasjáték
2;A csodálatos Kárpát-medence - Falinaptár 2023;null;Underground Kiadó és Terjesztő Kft., 2022;32.53;4.5;15;null;N/A;N/A;N/A;N/A
2;Kis Marseille-i Tarot;null;Hermit Könyvkiadó Bt., 2022;33.73;4;4;null;N/A;N/A;N/A;Könyv > Életmód, egészség > Ezotéria > Jóslás, álomfejtés, tarot
2;Én és a barátaim falinaptár - 19x22 cm - 2023;null;LAUFER ÉS TÁRSA BT, 2022;13.74;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Falinaptár > 2023-as naptárak
2;Vadász a Kárpát-mendencében falinaptár - 33,5x45,5 cm - 2023;null;LAUFER ÉS TÁRSA BT, 2022;38.56;4;4;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Falinaptár > 2023-as naptárak
2;JURASSIC WORLD - 4 az 1-ben - játékkártya;null;Cartaco Kft., 2022;21.51;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Játékkártya, társasjáték
2;"Moleskine határidőnapló 2022/24 18 hónap heti kemény fekete ""P""";null;Moleskine, 2023;100.84;4.5;15;null;N/A;N/A;N/A;Ajándék, utalványok > Naptár > Falinaptár > 2023-as naptárak
3;A magyarok nagy ősfoglalkozása - Előtanulmányok;Hermann Ottó;Históriaantik Könyvesház, 2011;104.46;4;4;magyar;408;kemény kötésben;5990000969559;Könyv > Történelem > Magyar történelem > Egyéb
3;A magyarság eredete, nyelve és honfoglaláskori műveltsége;Szinnyei József;Históriaantik Könyvesház, 2011;68.59;4;4;magyar;78;cérnafűzött, keménytáblás;5990000944983;Könyv > Történelem > Magyar történelem > Őstörténet és honfoglalás
3;Négy havi szolgálatom a magyar hadseregben 1848 június végétől okt. végéig;Ivánka Imre;Históriaantik Könyvesház, 2011;68.59;4.5;15;magyar;53;kemény kötés;2050000030840;Könyv > Történelem > Magyar történelem > 1848-49
3;Okmánytár az 1848-9-ki erdélyi eseményekhez;Kővári László;Históriaantik Könyvesház, 2011;68.59;4;4;magyar;204;kemény kötésben;5990000756302;Könyv > Történelem > Magyar történelem > 1848-49
3;A Rákóczyak kora Erdélyben I.;Szilágyi Sándor;Históriaantik Könyvesház, 2011;68.59;4.5;15;magyar;328;kemény kötés;5990000459722;Könyv > Történelem > Magyar történelem > Erdély
3;A szabad hajdúk története a XVI. és XVII. században;Dudás Gyula;Históriaantik Könyvesház, 2011;68.59;4.5;15;magyar;115;kemény kötés;5990000600063;Könyv > Történelem > Magyar történelem > A török hódoltság kora
3;Koordinátákon kívül - Fiatal felnőttek a mai Magyarországon;Szalai Erzsébet;Új Mandátum Könyvkiadó, 2011;28.28;4.5;15;magyar;235;puhatáblás, ragasztókötött;9789632870427;Könyv > Társadalomtudomány > Szociológia
3;Az ördög ügyvédje;Morris L. West;Kairosz Kiadó, 2011;33.77;4.5;15;magyar;320;puhatáblás, ragasztókötött;9789636624590;Könyv > Irodalom > Szépirodalom > Próza > Világirodalom > Regények > Kortárs > Angolszász
3;A lét perújrafelvétele;Cselényi István;Kairosz Kiadó, 2011;30.60;4.5;15;magyar;200;puhatáblás, ragasztókötött;9789636624644;Könyv > Társadalomtudomány > Filozófia > Metafizika, ismeretelmélet
3;A szmirnai boszorkányok;Mara Meimaridi;Gondolat Kiadó, 2011;33.77;4;4;magyar;363;kartonált ragasztókötés visszahajló füllel;9789636933401;Könyv > Irodalom > Szépirodalom > Próza > Világirodalom > Regények > Kortárs > Egyéb
